iter	RMSE
0	0.3298143557
1	0.3257276982
2	0.3218702319
3	0.3189556651
4	0.3154465209
5	0.3124633565
6	0.3098457796
7	0.3069319911
8	0.3041357394
9	0.3000010291
10	0.2963804278
11	0.2935116701
12	0.2910122692
13	0.287951983
14	0.2849213065
15	0.2822234037
16	0.2790989897
17	0.2752928704
18	0.2732581294
19	0.2699399393
20	0.2671817224
21	0.2640085421
22	0.2613511557
23	0.2595546025
24	0.2572130372
25	0.2553894392
26	0.25324831
27	0.2504200232
28	0.2479794279
29	0.2457635116
30	0.2431551548
31	0.2409660576
32	0.2381982706
33	0.2359312148
34	0.2337057077
35	0.2315389532
36	0.2293762756
37	0.2274610861
38	0.2257962016
39	0.2240260532
40	0.2219438091
41	0.2199732193
42	0.2184169521
43	0.2163441834
44	0.2149228795
45	0.2129339432
46	0.2106722365
47	0.2095072161
48	0.2081039512
49	0.2067286329
50	0.2053566498
51	0.203807402
52	0.2023832759
53	0.2010187145
54	0.1998143704
55	0.1983203652
56	0.1971571487
57	0.1957713022
58	0.1947206859
59	0.193362575
60	0.1919716796
61	0.190796559
62	0.1893834564
63	0.1884511312
64	0.1873642199
65	0.1863074879
66	0.1848034392
67	0.183995906
68	0.1829061265
69	0.1816028559
70	0.1806895504
71	0.1797972074
72	0.1786837273
73	0.1774671919
74	0.1766664626
75	0.175694718
76	0.1746800885
77	0.1736454056
78	0.1727709913
79	0.1718095468
80	0.1708940024
81	0.1698768849
82	0.1690254945
83	0.1677620346
84	0.1668077533
85	0.1659673977
86	0.1650341077
87	0.1640955165
88	0.1635053839
89	0.1626797026
90	0.1617782107
91	0.1610058182
92	0.1602328448
93	0.1598140005
94	0.1593752693
95	0.1586632026
96	0.1580116378
97	0.1573744495
98	0.156726298
99	0.155918502
100	0.1550909711
101	0.1546834535
102	0.1543403234
103	0.1536874222
104	0.1530001273
105	0.1524505404
106	0.1521165891
107	0.1513387448
108	0.1506830753
109	0.150255719
110	0.1495913952
111	0.1490885888
