iter	Passed	Remaining
0	4	4133
1	8	4225
2	11	3912
3	15	3928
4	20	4038
5	23	3904
6	26	3803
7	30	3737
8	33	3690
9	37	3674
10	40	3630
11	43	3585
12	46	3559
13	53	3788
14	58	3834
15	61	3789
16	65	3762
17	69	3774
18	72	3746
19	75	3712
20	79	3687
21	82	3678
22	86	3660
23	89	3646
24	92	3624
25	96	3605
26	100	3604
27	103	3595
28	106	3574
29	109	3553
30	113	3543
31	116	3529
32	120	3520
33	123	3507
34	126	3499
35	130	3505
36	135	3519
37	138	3506
38	141	3498
39	145	3488
40	148	3479
41	152	3470
42	155	3458
43	159	3463
44	162	3455
45	166	3446
46	169	3434
47	172	3427
48	176	3418
49	179	3409
50	182	3404
51	186	3395
52	189	3388
53	192	3377
54	196	3369
55	199	3364
56	202	3357
57	206	3350
58	209	3344
59	211	3317
60	215	3312
61	218	3303
62	221	3298
63	225	3291
64	228	3283
65	231	3278
66	235	3274
67	239	3279
68	242	3273
69	246	3268
70	249	3263
71	252	3258
72	256	3251
73	259	3244
74	263	3245
75	266	3244
76	270	3240
77	273	3234
78	276	3227
79	280	3222
80	283	3218
81	286	3211
82	290	3206
83	293	3199
84	296	3195
85	300	3190
86	303	3185
87	306	3180
88	309	3172
89	313	3167
90	316	3161
91	319	3154
92	323	3150
93	326	3144
94	329	3141
95	333	3135
96	336	3131
97	339	3126
98	343	3121
99	346	3118
100	349	3112
101	353	3108
102	356	3102
103	359	3096
104	362	3092
105	366	3087
106	369	3081
107	372	3076
108	375	3072
109	379	3068
110	382	3063
111	385	3057
112	389	3054
113	392	3049
114	395	3044
115	398	3039
116	402	3034
117	405	3032
118	409	3028
119	412	3023
120	415	3018
121	418	3013
122	422	3009
123	425	3006
124	428	3002
125	432	2998
126	435	2993
127	438	2989
128	442	2984
129	445	2980
130	448	2975
131	452	2972
132	455	2967
133	458	2963
134	461	2960
135	465	2956
136	470	2962
137	475	2968
138	478	2964
139	481	2960
140	485	2957
141	488	2952
142	492	2948
143	495	2945
