,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,Neighborhood,Condition1,BldgType,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating_GasA,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,SaleType,SaleCondition,SalePrice,HouseAge,RemodelAge,GarageAge,OutdoorArea,TotalArea,TotalBathrooms,OverallScore,ExteriorScore,KitchenScore,LotFrontageRatio,BedroomRatio,HasGarage,HasFireplace,GarageScore,TotalPorchArea,DecadeBuilt
0,232912.70967741936,187454.12826333713,65.0,8450.0,162774.52192362092,177298.7721893491,195407.38709677418,180875.02087682672,180903.52580645162,204254.3969230769,5,2003,2003,168495.4235560589,212695.64160401002,213439.568877551,199949.1036585366,196.0,226537.26809651474,180297.35699588477,220567.05432595575,199793.56050955414,179980.99899699097,164921.8512064343,233085.95,706.0,180764.27979274612,150.0,856.0,1,209531.73483535528,1,182982.32011892964,856.0,854.0,1710.0,1,0,2,1,3,1,207176.38,8,179131.57375478928,0,141033.6074074074,199104.21984732823,2003,200308.2469512195,2,548.0,183788.4348697395,183837.3174129353,182345.1261083744,0.0,61.0,0.0,169357.070030896,171699.16339869282,208500.0,5,5,5,61.0,3175.0,3.5,35,40844070698.869774,207176.38,0.007692307692307693,0.375,1.0,0.0,100716062.30861723,61.0,238376.6045016077
1,186861.64938271604,189218.55922551252,80.0,9600.0,165578.17422096318,179619.6673306773,186970.58823529413,135325.64516129033,183215.04731182795,176660.770609319,8,1976,1976,170250.50286368842,152564.15789473685,153377.8719512195,155194.31659056316,0.0,143121.05547445256,182573.24458204335,147910.58860759492,200477.1480686695,181456.6616766467,245371.17894736843,156864.84375,978.0,182623.3105590062,284.0,1262.0,1,214428.42477876105,1,184637.5371819961,1262.0,0.0,1262.0,0,1,2,0,3,1,138563.32072072072,6,182083.1247582205,1,198659.1814159292,200127.7132243685,1976,202065.29780564262,2,460.0,185342.89207920793,185399.1850393701,184424.91788856304,298.0,0.0,0.0,170718.5841995842,173010.02195389682,181500.0,31,31,31,298.0,3282.0,2.5,48,26130075465.97742,138563.32072072072,0.008333333333333333,0.5,1.0,1.0,85257730.35643564,0.0,149181.4492753623
2,231862.54337899544,187622.19817767653,68.0,11250.0,202487.78151260506,177413.43873517786,198935.85714285713,180547.00310237848,181172.9493534483,201402.20234604104,5,2001,2002,169200.16933638445,210547.68274111676,211422.01302083334,196705.20833333334,162.0,227440.1151685393,181010.90194075587,221534.43326488708,198171.35897435897,179594.289,190583.0760869565,231276.74683544305,486.0,181357.03958333333,434.0,920.0,1,208943.3315602837,1,182532.71540726203,920.0,866.0,1786.0,1,0,2,1,3,1,206967.4105504587,6,180509.29332042593,1,195229.21097046413,198523.3097744361,2001,198149.3944099379,2,608.0,183698.4262948207,183826.90198019802,182820.0983284169,0.0,42.0,0.0,168604.8875,170516.6917211329,223500.0,7,6,7,42.0,3356.0,3.5,35,41169140384.16669,206967.4105504587,0.006044444444444444,0.5,1.0,1.0,111688643.18725099,42.0,242226.0606060606
3,167294.68181818182,187454.12826333713,60.0,9550.0,200355.61559139786,177298.7721893491,207075.29268292684,180875.02087682672,180903.52580645162,204254.3969230769,5,1915,1970,168495.4235560589,138940.7142857143,141439.0625,152810.35661218426,0.0,141400.48057553958,180297.35699588477,124975.53389830509,138549.28942115768,207211.08333333334,164921.8512064343,155425.46583850932,216.0,180764.27979274612,540.0,756.0,1,153712.65384615384,1,182982.32011892964,961.0,756.0,1717.0,1,0,1,0,3,1,207176.38,7,179131.57375478928,1,222446.65853658537,131046.31907894737,1998,138552.94396551725,3,642.0,183788.4348697395,183837.3174129353,182345.1261083744,0.0,35.0,272.0,169357.070030896,134168.05,140000.0,91,36,8,35.0,3150.0,2.0,35,25494132925.717728,207176.38,0.0062827225130890054,0.42857142857142855,1.0,1.0,117992175.18637276,307.0,130198.13333333333
4,232912.70967741936,187454.12826333713,84.0,14260.0,200355.61559139786,177298.7721893491,311517.6,180875.02087682672,180903.52580645162,204254.3969230769,5,2000,2000,168495.4235560589,212695.64160401002,213439.568877551,199949.1036585366,350.0,226537.26809651474,180297.35699588477,220567.05432595575,199793.56050955414,179980.99899699097,205656.0559006211,233085.95,655.0,180764.27979274612,490.0,1145.0,1,209531.73483535528,1,182982.32011892964,1145.0,1053.0,2198.0,1,0,2,1,4,1,207176.38,9,179131.57375478928,1,198446.0720338983,199104.21984732823,2000,200308.2469512195,3,836.0,183788.4348697395,183837.3174129353,182345.1261083744,192.0,84.0,0.0,169357.070030896,171699.16339869282,250000.0,8,8,8,276.0,4455.0,3.5,40,40844070698.869774,207176.38,0.005890603085553997,0.4444444444444444,1.0,1.0,153647131.55110222,84.0,238376.6045016077
5,140692.80672268907,187454.12826333713,85.0,14115.0,200355.61559139786,177298.7721893491,157778.5806451613,180875.02087682672,180903.52580645162,140094.0,5,1993,1995,168495.4235560589,212695.64160401002,213439.568877551,152810.35661218426,0.0,141400.48057553958,180297.35699588477,125010.04,199793.56050955414,179980.99899699097,164921.8512064343,233085.95,732.0,180764.27979274612,64.0,796.0,1,209531.73483535528,1,182982.32011892964,796.0,566.0,1362.0,1,0,1,1,1,1,138250.20714285714,5,179131.57375478928,0,141033.6074074074,199104.21984732823,1993,138552.94396551725,2,480.0,183788.4348697395,183837.3174129353,182345.1261083744,40.0,30.0,0.0,169357.070030896,171699.16339869282,143000.0,16,14,16,70.0,2708.0,2.5,25,25494132925.717728,138250.20714285714,0.0060219624512929506,0.2,1.0,0.0,88218448.73747495,350.0,217082.64957264956
6,182418.6891566265,187622.19817767653,75.0,10084.0,163446.12016574584,177413.43873517786,221345.046875,180547.00310237848,181172.9493534483,175402.9982078853,5,2004,2005,169200.16933638445,210547.68274111676,211422.01302083334,271615.35789473687,186.0,227440.1151685393,181010.90194075587,221534.43326488708,320828.5824175824,179594.289,204112.19298245615,231276.74683544305,1369.0,181357.03958333333,317.0,1686.0,1,208943.3315602837,1,182532.71540726203,1694.0,0.0,1694.0,1,0,2,0,3,1,206967.4105504587,7,180509.29332042593,1,223607.68881118883,198523.3097744361,2004,198149.3944099379,2,636.0,183698.4262948207,183826.90198019802,182820.0983284169,255.0,57.0,0.0,168604.8875,170516.6917211329,307000.0,3,2,3,312.0,4328.0,3.0,40,41169140384.16669,206967.4105504587,0.007437524791749306,0.42857142857142855,1.0,1.0,116832199.12350596,57.0,242226.0606060606
7,226907.44545454546,186487.34171428572,69.64470391993328,10382.0,197815.20218579235,176195.9910802775,186591.9090909091,225903.84615384616,181350.13383297645,198683.2117647059,6,1973,1973,168565.13856812933,158253.41379310345,162571.525,262743.0,240.0,142607.9657142857,180408.88663967612,147645.2036659878,200197.4252631579,178833.80857427718,194805.0,157848.95833333334,859.0,140851.375,216.0,1107.0,1,210189.34168157424,1,182855.23639960436,1107.0,983.0,2090.0,1,0,2,1,3,1,137829.42190305208,7,179417.96038647342,2,199190.8354978355,199984.02095808383,1973,202389.72727272726,2,484.0,183517.74474474473,183679.7400793651,181506.49709302327,235.0,204.0,228.0,169911.19131334024,172175.2729257642,200000.0,36,36,36,439.0,4120.0,3.5,42,25727744320.463387,137829.42190305208,0.006708216520895134,0.42857142857142855,1.0,1.0,88822588.45645645,432.0,149392.88732394367
8,140138.22222222222,123434.05454545455,51.0,6120.0,163446.12016574584,177413.43873517786,120913.04705882353,119276.66666666667,181172.9493534483,139073.05263157896,5,1931,1950,169200.16933638445,195114.63414634147,146994.64285714287,154851.22652757078,0.0,143700.55211267606,181010.90194075587,126847.02752293578,138746.25702811245,179594.289,163367.66666666666,168186.92523364487,0.0,181357.03958333333,952.0,952.0,1,156052.79005524862,1,112281.85,1022.0,752.0,1774.0,0,0,2,0,2,2,139980.8272251309,8,141766.0,2,195229.21097046413,131376.54362416107,1931,140283.6553911205,2,468.0,120223.2972972973,183826.90198019802,182820.0983284169,90.0,0.0,205.0,168604.8875,136987.34722222222,129900.0,77,58,77,90.0,3284.0,2.0,35,26011366547.300083,279961.6544502618,0.008333333333333333,0.25,1.0,1.0,56264503.13513514,205.0,145636.83720930232
9,121520.0,189218.55922551252,50.0,7420.0,165578.17422096318,179619.6673306773,128185.71428571429,120546.875,120161.90476190476,112560.0,6,1939,1950,170250.50286368842,152564.15789473685,153377.8719512195,155194.31659056316,0.0,143121.05547445256,182573.24458204335,122535.01960784313,138749.6673427992,181456.6616766467,164924.63710777627,231849.82686567164,851.0,182623.3105590062,140.0,991.0,1,214428.42477876105,1,184637.5371819961,1077.0,0.0,1077.0,1,0,1,0,2,2,138563.32072072072,5,182083.1247582205,2,198659.1814159292,200127.7132243685,1939,202065.29780564262,1,205.0,182325.0,185399.1850393701,184424.91788856304,0.0,4.0,0.0,170718.5841995842,173010.02195389682,118000.0,69,58,69,4.0,2277.0,2.0,30,26130075465.97742,277126.64144144143,0.006738544474393531,0.4,1.0,1.0,37376625.0,4.0,151708.45238095237
